RCM,GCM,name
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2
SMHI-RCA4,CNRM-CERFACS-CNRM-CM5,SMHI-RCA4_CNRM-CERFACS-CNRM-CM5
SMHI-RCA4,CSIRO-QCCCE-CSIRO-Mk3-6-0,SMHI-RCA4_CSIRO-QCCCE-CSIRO-Mk3-6-0
SMHI-RCA4,ICHEC-EC-EARTH,SMHI-RCA4_ICHEC-EC-EARTH
SMHI-RCA4,IPSL-IPSL-CM5A-MR,SMHI-RCA4_IPSL-IPSL-CM5A-MR
SMHI-RCA4,MIROC-MIROC5,SMHI-RCA4_MIROC-MIROC5
SMHI-RCA4,MOHC-HadGEM2-ES,SMHI-RCA4_MOHC-HadGEM2-ES
SMHI-RCA4,MPI-M-MPI-ESM-LR,SMHI-RCA4_MPI-M-MPI-ESM-LR
SMHI-RCA4,NCC-NorESM1-M,SMHI-RCA4_NCC-NorESM1-M
SMHI-RCA4,NOAA-GFDL-GFDL-ESM2M,SMHI-RCA4_NOAA-GFDL-GFDL-ESM2M
